lat,lon,name,Selection
40.69089272,-73.99612349,Henry St & Atlantic Ave,0
40.69165183,-73.9999786,Atlantic Ave & Furman St,0
40.70463334,-74.01361706,Broadway & Battery Pl,0
40.70862144,-74.00722156,John St & William St,0
40.70965083,-74.06860113,JCBS Depot,0
40.71113,-74.0789,Jackson Square,0
40.7112423,-74.0557013,Liberty Light Rail,0
40.71241882,-74.03852552,Morris Canal,1
40.7127742,-74.0364857,Essex Light Rail,1
40.71346383,-74.06285852,Lafayette Park,0
40.7141454,-74.0335519,Paulus Hook,1
40.71435837,-74.06661093,Communipaw & Berry Lane,0
40.71458404,-74.04281706,Marin Light Rail,1
40.71485151,-74.01122332,Murray St & Greenwich St,0
40.71517768,-74.03768331,Grand St,1
40.7153379,-74.01658354,Vesey Pl & River Terrace,0
40.7162469,-74.0334588,Exchange Place,1
40.71649,-74.04105,York St,1
40.71653978,-74.04963791,JC Medical Center,1
40.7177325,-74.043845,City Hall,1
40.7182113,-74.0836394,Union St,0
40.7183552,-74.03891444,Columbus Drive,1
40.71848892,-74.04772663,Van Vorst Park,1
40.7192517,-74.034234,Harborside,1
40.7192822,-74.07126188,Astor Place,0
40.71942,-74.05099,Montgomery St,1
40.71958612,-74.04311746,Grove St PATH,1
40.7211236,-74.03805095,Warren St,1
40.72152515,-74.04630454,Newark Ave,1
40.72163014,-74.04996783,Dixon Mills,1
40.72165072,-74.04288411,Manila & 1st,1
40.72210379,-74.071455,Bergen Ave,0
40.72333159,-74.04595256,Jersey & 3rd,1
40.7236589,-74.0641943,Baldwin at Montgomery,0
40.7241765,-74.0506564,Brunswick St,1
40.7242941,-74.0354826,Washington St,1
40.7246051,-74.07840595,Lincoln Park,0
40.72528911,-74.04557168,Jersey & 6th St,1
40.72533993,-74.06762213,McGinley Square,0
40.72568548,-74.04879034,Monmouth and 6th,0
40.72572614,-74.07195926,Fairmount Ave,0
40.72601173,-74.05038893,Brunswick & 6th,1
40.7272235,-74.0337589,Newport PATH,1
40.72755147,-74.07106072,Glenwood Ave,0
40.72759597,-74.04424731,Hamilton Park,1
40.72771408,-74.01129574,Pier 40 - Hudson River Park,0
40.7287448,-74.0321082,Newport Pkwy,1
40.73074263,-74.06378388,Sip Ave,0
40.7311689,-74.0575736,Hilltop,0
40.73367,-74.0625,Journal Square,0
40.73478582,-74.05044364,Christ Hospital,0
40.73496102,-74.05950308,5 Corners Library,0
40.73649403,-73.99704374,W 13 St & 6 Ave,0
40.7376037,-74.0524783,Oakland Ave,0
40.737711,-74.066921,Dey St,0
40.74267714,-74.05178863,Pershing Field,0
40.7443187,-74.0439909,Riverview Park,0
40.74590997,-74.05727148,Leonard Gordon Park,0
40.7462009,-73.98855723,Broadway & W 29 St,0
40.74765947,-73.98490707,E 33 St & 5 Ave,0
40.74854862,-73.98808416,Broadway & W 32 St,0
40.74871595,-74.0404433,Heights Elevator,0
40.75510267,-73.97498696,E 47 St & Park Ave,0
40.76030096,-73.99884222,11 Ave & W 41 St,0
40.76087502,-74.00277668,12 Ave & W 40 St,0
40.76341379,-73.99667444,W 46 St & 11 Ave,0
40.768254,-73.988639,W 56 St & 10 Ave,0
40.8143256,-73.9590255,Broadway & Moylan Pl,0
