,lat,lon,name,Selection,Demand,Available,InstantDemand
0,40.69089272,-73.99612349,Depot,1,0,0,0
1,40.71241882,-74.03852552,Morris Canal,1,0,6,6
2,40.7127742,-74.0364857,Essex Light Rail,1,0,12,12
3,40.7141454,-74.0335519,Paulus Hook,1,0,8,8
4,40.71458404,-74.04281706,Marin Light Rail,1,12,4,-8
5,40.71517768,-74.03768331,Grand St,1,0,0,0
6,40.7162469,-74.0334588,Exchange Place,1,0,11,11
7,40.71649,-74.04105,York St,1,0,6,6
8,40.71653978,-74.04963791,JC Medical Center,1,9,0,-9
9,40.7177325,-74.043845,City Hall,1,0,2,2
10,40.7183552,-74.03891444,Columbus Drive,1,0,0,0
11,40.71848892,-74.04772663,Van Vorst Park,1,0,0,0
12,40.7192517,-74.034234,Harborside,1,0,0,0
13,40.71942,-74.05099,Montgomery St,1,0,0,0
14,40.71958612,-74.04311746,Grove St PATH,1,6,1,-5
15,40.7211236,-74.03805095,Warren St,1,0,11,11
16,40.72152515,-74.04630454,Newark Ave,1,0,0,0
17,40.72163014,-74.04996783,Dixon Mills,1,0,0,0
18,40.72165072,-74.04288411,Manila & 1st,1,7,3,-4
19,40.72333159,-74.04595256,Jersey & 3rd,1,0,0,0
20,40.7241765,-74.0506564,Brunswick St,1,45,3,-42
21,40.7242941,-74.0354826,Washington St,1,0,0,0
22,40.72528911,-74.04557168,Jersey & 6th St,1,13,2,-11
23,40.72601173,-74.05038893,Brunswick & 6th,1,0,1,1
24,40.7272235,-74.0337589,Newport PATH,1,8,18,10
25,40.72759597,-74.04424731,Hamilton Park,1,0,2,2
26,40.7287448,-74.0321082,Newport Pkwy,1,0,10,10
